Id_Estado,Id_Tienda
BAJA CALIFORNIA,134t
COAHUILA DE ZARAGOZA,134t
GUANAJUATO,134t
BAJA CALIFORNIA,135t
BAJA CALIFORNIA,136t
BAJA CALIFORNIA,138t
BAJA CALIFORNIA,139t
BAJA CALIFORNIA,140t
BAJA CALIFORNIA,141t
BAJA CALIFORNIA,142t
BAJA CALIFORNIA,143t
BAJA CALIFORNIA,144t
BAJA CALIFORNIA,145t
MEXICO,145t
VERACRUZ,145t
BAJA CALIFORNIA,146t
BAJA CALIFORNIA,147t
CAMPECHE,147t
BAJA CALIFORNIA,148t
BAJA CALIFORNIA,149t
BAJA CALIFORNIA,150t
BAJA CALIFORNIA,151t
BAJA CALIFORNIA,152t
BAJA CALIFORNIA,153t
BAJA CALIFORNIA,154t
BAJA CALIFORNIA,155t
BAJA CALIFORNIA,156t
BAJA CALIFORNIA,157t
BAJA CALIFORNIA,158t
BAJA CALIFORNIA,159t
BAJA CALIFORNIA,160t
BAJA CALIFORNIA,161t
BAJA CALIFORNIA,162t
BAJA CALIFORNIA,163t
BAJA CALIFORNIA,164t
BAJA CALIFORNIA,165t
BAJA CALIFORNIA,166t
BAJA CALIFORNIA,167t
BAJA CALIFORNIA,168t
BAJA CALIFORNIA,169t
BAJA CALIFORNIA,170t
BAJA CALIFORNIA,171t
BAJA CALIFORNIA,172t
BAJA CALIFORNIA,173t
BAJA CALIFORNIA,174t
BAJA CALIFORNIA,175t
CHIAPAS,175t
BAJA CALIFORNIA,176t
BAJA CALIFORNIA,177t
BAJA CALIFORNIA,178t
BAJA CALIFORNIA,179t
BAJA CALIFORNIA,180t
BAJA CALIFORNIA,181t
BAJA CALIFORNIA,182t
BAJA CALIFORNIA,183t
BAJA CALIFORNIA,184t
BAJA CALIFORNIA,185t
BAJA CALIFORNIA,186t
BAJA CALIFORNIA,187t
BAJA CALIFORNIA,188t
BAJA CALIFORNIA,189t
BAJA CALIFORNIA,190t
BAJA CALIFORNIA,191t
BAJA CALIFORNIA,192t
BAJA CALIFORNIA,193t
BAJA CALIFORNIA,194t
BAJA CALIFORNIA,195t
BAJA CALIFORNIA,196t
BAJA CALIFORNIA,197t
BAJA CALIFORNIA,198t
BAJA CALIFORNIA,199t
BAJA CALIFORNIA,200t
BAJA CALIFORNIA,201t
BAJA CALIFORNIA,202t
BAJA CALIFORNIA,203t
BAJA CALIFORNIA,204t
BAJA CALIFORNIA,205t
BAJA CALIFORNIA,206t
BAJA CALIFORNIA,207t
BAJA CALIFORNIA,208t
BAJA CALIFORNIA,209t
BAJA CALIFORNIA,210t
BAJA CALIFORNIA,211t
BAJA CALIFORNIA,212t
BAJA CALIFORNIA,213t
BAJA CALIFORNIA,214t
BAJA CALIFORNIA,215t
BAJA CALIFORNIA,216t
BAJA CALIFORNIA,217t
BAJA CALIFORNIA,218t
BAJA CALIFORNIA,219t
BAJA CALIFORNIA,220t
BAJA CALIFORNIA,221t
BAJA CALIFORNIA,222t
BAJA CALIFORNIA,223t
BAJA CALIFORNIA,224t
BAJA CALIFORNIA,225t
BAJA CALIFORNIA,226t
BAJA CALIFORNIA,227t
BAJA CALIFORNIA,228t
BAJA CALIFORNIA,229t
BAJA CALIFORNIA,230t
BAJA CALIFORNIA,231t
BAJA CALIFORNIA,232t
BAJA CALIFORNIA,233t
BAJA CALIFORNIA,234t
BAJA CALIFORNIA,235t
CHIHUAHUA,235t
SONORA,235t
BAJA CALIFORNIA,236t
BAJA CALIFORNIA,237t
BAJA CALIFORNIA,238t
BAJA CALIFORNIA,239t
BAJA CALIFORNIA,240t
BAJA CALIFORNIA,241t
BAJA CALIFORNIA,242t
BAJA CALIFORNIA,943t
CHIAPAS,943t
CHIHUAHUA,943t
COLIMA,943t
MICHOACAN DE OCAMPO,943t
TAMAULIPAS,943t
SINALOA,943t
BAJA CALIFORNIA,4827t
BAJA CALIFORNIA,4828t
BAJA CALIFORNIA,4829t
BAJA CALIFORNIA,4830t
BAJA CALIFORNIA,4831t
BAJA CALIFORNIA,4832t
BAJA CALIFORNIA,4833t
BAJA CALIFORNIA,4834t
BAJA CALIFORNIA,4835t
BAJA CALIFORNIA,4836t
BAJA CALIFORNIA,4837t
BAJA CALIFORNIA,4838t
BAJA CALIFORNIA,4839t
BAJA CALIFORNIA,4840t
BAJA CALIFORNIA,4841t
BAJA CALIFORNIA,4842t
BAJA CALIFORNIA,4843t
BAJA CALIFORNIA,4844t
BAJA CALIFORNIA,4845t
BAJA CALIFORNIA,4846t
BAJA CALIFORNIA,559t
CAMPECHE,559t
BAJA CALIFORNIA,4847t
BAJA CALIFORNIA,4848t
BAJA CALIFORNIA,4849t
BAJA CALIFORNIA,4850t
BAJA CALIFORNIA,4851t
BAJA CALIFORNIA,4852t
BAJA CALIFORNIA,4853t
BAJA CALIFORNIA,4854t
BAJA CALIFORNIA,4855t
BAJA CALIFORNIA,4856t
BAJA CALIFORNIA,4857t
BAJA CALIFORNIA,4858t
BAJA CALIFORNIA,4859t
BAJA CALIFORNIA,4860t
BAJA CALIFORNIA,4861t
BAJA CALIFORNIA,4862t
BAJA CALIFORNIA,4863t
BAJA CALIFORNIA,4864t
BAJA CALIFORNIA,4865t
BAJA CALIFORNIA,4866t
BAJA CALIFORNIA,4867t
BAJA CALIFORNIA,4868t
BAJA CALIFORNIA,4869t
BAJA CALIFORNIA,4870t
BAJA CALIFORNIA,4871t
BAJA CALIFORNIA,4872t
BAJA CALIFORNIA,2294t
DISTRITO FEDERAL,2294t
MEXICO,2294t
TAMAULIPAS,2294t
BAJA CALIFORNIA,4873t
BAJA CALIFORNIA,1692t
DISTRITO FEDERAL,1692t
COAHUILA DE ZARAGOZA,1692t
MEXICO,1692t
BAJA CALIFORNIA,4874t
BAJA CALIFORNIA,4875t
BAJA CALIFORNIA,4876t
BAJA CALIFORNIA,4877t
BAJA CALIFORNIA,4878t
BAJA CALIFORNIA,4879t
BAJA CALIFORNIA,4880t
BAJA CALIFORNIA,4881t
BAJA CALIFORNIA,4882t
BAJA CALIFORNIA,4883t
BAJA CALIFORNIA,4884t
BAJA CALIFORNIA,4885t
BAJA CALIFORNIA,4886t
BAJA CALIFORNIA,4887t
BAJA CALIFORNIA,4888t
BAJA CALIFORNIA,4889t
BAJA CALIFORNIA,4890t
BAJA CALIFORNIA,4891t
BAJA CALIFORNIA,4892t
BAJA CALIFORNIA,4893t
BAJA CALIFORNIA,4894t
BAJA CALIFORNIA,4895t
BAJA CALIFORNIA,4896t
BAJA CALIFORNIA,4897t
BAJA CALIFORNIA,4898t
BAJA CALIFORNIA,4899t
BAJA CALIFORNIA,4900t
BAJA CALIFORNIA,4901t
BAJA CALIFORNIA,4902t
BAJA CALIFORNIA,4903t
BAJA CALIFORNIA,4904t
BAJA CALIFORNIA,4905t
BAJA CALIFORNIA,4906t
BAJA CALIFORNIA,4907t
BAJA CALIFORNIA,4908t
BAJA CALIFORNIA,4909t
BAJA CALIFORNIA,4910t
BAJA CALIFORNIA,4911t
BAJA CALIFORNIA,4912t
BAJA CALIFORNIA,4913t
BAJA CALIFORNIA,4914t
BAJA CALIFORNIA,4915t
BAJA CALIFORNIA,4916t
BAJA CALIFORNIA,4917t
TLAXCALA,4917t
BAJA CALIFORNIA,4918t
BAJA CALIFORNIA,4919t
BAJA CALIFORNIA,4920t
SAN LUIS POTOSI,4920t
SINALOA,4920t
BAJA CALIFORNIA,4921t
BAJA CALIFORNIA,4922t
BAJA CALIFORNIA,4923t
BAJA CALIFORNIA,1088t
CHIAPAS,1088t
CHIHUAHUA,1088t
COLIMA,1088t
YUCATAN,1088t
MICHOACAN DE OCAMPO,1088t
SAN LUIS POTOSI,1088t
BAJA CALIFORNIA,4924t
BAJA CALIFORNIA,4925t
BAJA CALIFORNIA,4926t
BAJA CALIFORNIA,4927t
BAJA CALIFORNIA,4928t
BAJA CALIFORNIA,4929t
BAJA CALIFORNIA,4930t
BAJA CALIFORNIA,4931t
BAJA CALIFORNIA,4932t
BAJA CALIFORNIA,4933t
BAJA CALIFORNIA,4934t
BAJA CALIFORNIA,4935t
BAJA CALIFORNIA,4936t
TABASCO,4936t
BAJA CALIFORNIA,4937t
BAJA CALIFORNIA,4938t
BAJA CALIFORNIA,4939t
BAJA CALIFORNIA,4940t
BAJA CALIFORNIA,4941t
BAJA CALIFORNIA,4942t
BAJA CALIFORNIA,4943t
BAJA CALIFORNIA,4944t
BAJA CALIFORNIA,4945t
BAJA CALIFORNIA,4946t
