Nombre_Tienda,Id_Tienda
FERRETERIA LA GLORIA S. DE R. L. DE C.V.,91t
FERRETERIA HIPODROMO S DE RL DE CV,92t
DISTRIBUIDORA EL FLORIDO  S.A DE C.V.,93t
SUPER DAX LOS ENCINOS,94t
FARMACIAS ROMA,95t
FIX FERRETERIAS,96t
DULCERIA YANET S. DE R.L. DE C.V.,97t
MERCADO EL AGUAJE,98t
PAPELERIA Y MISCELANEA MARA,99t
FARMACIAS DEL AHORRO,100t
BAREZZITO DE LA FRONTERA S.A. DE C.V.,101t
WALDOïS DOLAR MART DE MEXICO S  DE R.L. DE C.V.,102t
DULCERIA EL MOLINO,103t
DISTRIBUIDORA EL FLORIDO S.A. DE C.V.,104t
MOTEL VIA,105t
SERVICIOS DE HOTELERIA EL SOLER S.A. DE C.V.,106t
MOTEL VILLA DORADA,107t
MOTEL ENSUEÑO,108t
MOTEL BALANDRA,109t
MOTEL SCALA,110t
FARMACIA GUSHER S.A. DE C.V.,111t
FARMACIA GUSHER  S.A. DE C.V.,112t
REYES SALON CANTINA TJ,113t
PESCADERIA LAS PLAYAS,114t
ABARROTES Y CARNICERIA JORGE,115t
MERCADO Y CARNICERIA EL MAIKY,116t
MERCADO EMILIA # 1,117t
MERCADO DIAZ,118t
MERCADO BENYS Y/O RODRIGUEZ VALENCIA BENITO,119t
SUSHI FACTORY S.A. DE C.V.,120t
MERCADO MINERVA II,121t
BODEGA AURRERA QUINTAS DEL REFUGIO,122t
SEXY ROSA BOUTIQUE,123t
TIENDAS SORIANA S.A. DE C.V. SUCURSAL GERANEOS,124t
EMPRESAS MARIA LUISA S. DE R.L. DE C.V.,125t
TIENDAS SORIANA  S.A. DE C.V. ( SUCURSAL FLORIDO),126t
CALIMAX SANCHEZ TABOADA,127t
CASA LEY  S.A DE C.V.,128t
BODEGA AURRERA UNIDAD  DELICIAS,129t
SMART & FINAL SUCURSAL 521,130t
BODEGA AURRERA UNIDAD EL  AGUILA,131t
CALIMAX CETYS,132t
TIENDAS COMERCIAL MEXICANA  S.A. DE C.V.,133t
CASA LEY S.A. DE C.V.,134t
CALIMAX SAN QUINTIN,135t
RESTAURANT MISION SANTA ISABEL,136t
TIENDAS SORIANA  S.A. DE C.V.,137t
MERCADO V Y M,138t
CARNE MART SUCURSAL TECATE,139t
LA CENTRAL DE SODA,140t
MERCADO ALFER,141t
CIRCULO K VALLE LAS PALMAS,142t
PUERTO NUEVO HOTEL Y VILLAS  Y/O DESARROLLOS EDD S.A. DE C.V.,143t
ITALIANNIS,144t
COSTCO DE MEXICO S.A. DE C.V.,145t
SPORTS FAN,146t
LOB FOOTWEAR  S.A. DE C.V.,147t
JACAïS TEQUILERIA Y TAPAS,148t
BODEGON ROSALES,149t
DISTRIBUIDORA EL CHARAL,150t
RAMTONIO DULCERIA,151t
MERCADO Y CARNICERIA AL COSTO,152t
BOUTIQUE LA ROPA,153t
ZAPATERIA 3 HERMANOS Y/O TIRIOZA S.A DE C.V.,154t
ZAPATERIA ESTRELLA NIÑOS,155t
DULCERIA EL COMPADRE,156t
DULCERIA ADILENE,157t
DULCERIA PENINSULAR,158t
DULCERIA EL CHATO,159t
DULCERIA AYALA,160t
ALIMENTOS FINOS AILED  S. DE R.L. DE C.V.,161t
SUPER CARNICERIA Y FRUTERIA EL LIMOSIN,162t
MERCADO SAUCEDO,163t
DISTRIBUIDORA EL RORRO,164t
MINI MARKET NAVSON,165t
MERCADO BRISMA  S.A.,166t
MERCADO  Y CARNICERIA REFORMA,167t
MERCADO LA VILLITA Y/O SILVIA GONZALEZ,168t
PAMPAS RESTAURANTE DO BRASIL,169t
RESULTA & RESALTA,170t
PAPELERIA Y DULCERIA JUVERA,171t
SUPER DULCES,172t
RAMTONIO DULCERIAS,173t
SKANDALOS BOUTIQUE,174t
DULCERIA ARCOIRIS,175t
FRUTERIA Y DULCERIA HUICHO,176t
DULCERIA DON TIMO,177t
CABANNA,178t
RESTAURANT EL RODEO,179t
FONDA ARGENTINA S.A. DE C.V.,180t
APPLEBEEïS ROSARITO,181t
DULCERIA DON MAX,182t
OK ACCESORIES,183t
AUTOSERVICIO EL ANDARIEGO,184t
MERCADO SAN SEBASTIAN,185t
ABARROTES Y CARNICERIA LAS GUERITAS,186t
TORTILLERIA MORA,187t
AUTO SERVICIO OJEDA,188t
MERCADO LAS GRANJAS,189t
ABARROTES JARDIN 2,190t
FARMACIAS GUSHER,191t
MERCADO GARZAS,192t
ABARROTES PAOLA,193t
ABARROTES CACHANILLA,194t
IMPORTADORA Y DISTRIBUIDORA LA CANASTA S. DE R.L. DE C.V.,195t
MERCADO CASABLANCA,196t
MERCADO VISTA MAR,197t
MERCADO EL AHORRO,198t
MERCADO HECTORS,199t
CARNICERIA CASTILLO,200t
CARNICERIA LOMAS,201t
MINIMERCADO Y CARNICERIA LA ESCONDIDA,202t
HIGH LIFE DE TIJUANA  S.A. DE C.V.,203t
MERCADO LA ESMERALDA,204t
CARNICERIA Y FRUTERIA MI TIJUANA,205t
SUPERMERCADO EL DORADO,206t
COMERDCIALIZADORA KIN,207t
ABARROTES LESLY,208t
ABARROTES VILLA DEL REAL,209t
MERCADO 5 HERMANOS S.A. DE C.V.,210t
TATIANAïS CURIOS,211t
CURIOS LA MINA DE TAXCO,212t
ANDROID STORE COMMUNICATIONS,213t
RULEïS  PLACE,214t
CURIOS RUBENS,215t
MEGA DULCES,216t
TIENDAS SORIANA  S.A. DE C.V. (SUCURSAL- RIO),217t
COMERCIALIZADORA DE ALIMENTOS EL MAYA,218t
SMART & FINAL DEL NOROESTE S.A. DE C.V.,219t
