Id_Producto,Id_Tienda,INCUMPLIMIENTO
143p,748t,NO SE DETECTO INCUMPLIMIENTO
158p,748t,NO SE DETECTO INCUMPLIMIENTO
167p,748t,NO SE DETECTO INCUMPLIMIENTO
209p,748t,NO SE DETECTO INCUMPLIMIENTO
216p,748t,NO SE DETECTO INCUMPLIMIENTO
223p,748t,NO SE DETECTO INCUMPLIMIENTO
230p,748t,NO SE DETECTO INCUMPLIMIENTO
233p,748t,No indica veracidad de la informacion comercial
233p,748t,toma de muestras
236p,748t,NO SE DETECTO INCUMPLIMIENTO
0p,4523t,NO SE DETECTO INCUMPLIMIENTO
24p,4523t,NO SE DETECTO INCUMPLIMIENTO
56p,4523t,NO SE DETECTO INCUMPLIMIENTO
89p,4523t,NO SE DETECTO INCUMPLIMIENTO
121p,4523t,NO SE DETECTO INCUMPLIMIENTO
155p,4523t,NO SE DETECTO INCUMPLIMIENTO
0p,5261t,NO SE DETECTO INCUMPLIMIENTO
25p,5261t,NO SE DETECTO INCUMPLIMIENTO
0p,5451t,NO SE DETECTO INCUMPLIMIENTO
0p,6733t,NO SE DETECTO INCUMPLIMIENTO
25p,6733t,NO SE DETECTO INCUMPLIMIENTO
0p,7087t,NO SE DETECTO INCUMPLIMIENTO
25p,7087t,NO SE DETECTO INCUMPLIMIENTO
0p,8421t,NO SE DETECTO INCUMPLIMIENTO
0p,8422t,NO SE DETECTO INCUMPLIMIENTO
0p,10041t,NO SE DETECTO INCUMPLIMIENTO
25p,10041t,NO SE DETECTO INCUMPLIMIENTO
70p,10041t,NO SE DETECTO INCUMPLIMIENTO
173p,10041t,NO SE DETECTO INCUMPLIMIENTO
0p,10043t,NO SE DETECTO INCUMPLIMIENTO
25p,10043t,NO SE DETECTO INCUMPLIMIENTO
0p,10044t,NO SE DETECTO INCUMPLIMIENTO
9p,10044t,NO SE DETECTO INCUMPLIMIENTO
25p,10044t,NO SE DETECTO INCUMPLIMIENTO
28p,10044t,NO SE DETECTO INCUMPLIMIENTO
41p,10044t,NO SE DETECTO INCUMPLIMIENTO
0p,10263t,NO SE DETECTO INCUMPLIMIENTO
1p,1t,NO SE DETECTO INCUMPLIMIENTO
1p,618t,NO SE DETECTO INCUMPLIMIENTO
4p,618t,NO SE DETECTO INCUMPLIMIENTO
54p,618t,NO SE DETECTO INCUMPLIMIENTO
1p,807t,NO SE DETECTO INCUMPLIMIENTO
3p,807t,NO SE DETECTO INCUMPLIMIENTO
54p,807t,NO SE DETECTO INCUMPLIMIENTO
56p,807t,NO SE DETECTO INCUMPLIMIENTO
1p,888t,NO SE DETECTO INCUMPLIMIENTO
1p,846t,NO SE DETECTO INCUMPLIMIENTO
4p,846t,NO SE DETECTO INCUMPLIMIENTO
54p,846t,NO SE DETECTO INCUMPLIMIENTO
1p,891t,NO SE DETECTO INCUMPLIMIENTO
3p,891t,NO SE DETECTO INCUMPLIMIENTO
1p,907t,NO SE DETECTO INCUMPLIMIENTO
4p,907t,NO SE DETECTO INCUMPLIMIENTO
54p,907t,NO SE DETECTO INCUMPLIMIENTO
61p,907t,NO SE DETECTO INCUMPLIMIENTO
1p,1058t,NO SE DETECTO INCUMPLIMIENTO
3p,1058t,NO SE DETECTO INCUMPLIMIENTO
1p,1175t,NO SE DETECTO INCUMPLIMIENTO
1p,1176t,NO SE DETECTO INCUMPLIMIENTO
1p,1235t,NO SE DETECTO INCUMPLIMIENTO
61p,1235t,NO SE DETECTO INCUMPLIMIENTO
91p,1235t,NO SE DETECTO INCUMPLIMIENTO
1p,1241t,NO SE DETECTO INCUMPLIMIENTO
61p,1241t,NO SE DETECTO INCUMPLIMIENTO
1p,1243t,NO SE DETECTO INCUMPLIMIENTO
54p,1243t,NO SE DETECTO INCUMPLIMIENTO
61p,1243t,NO SE DETECTO INCUMPLIMIENTO
1p,1245t,NO SE DETECTO INCUMPLIMIENTO
61p,1245t,NO SE DETECTO INCUMPLIMIENTO
1p,1247t,NO SE DETECTO INCUMPLIMIENTO
61p,1247t,NO SE DETECTO INCUMPLIMIENTO
1p,1260t,NO SE DETECTO INCUMPLIMIENTO
61p,1260t,NO SE DETECTO INCUMPLIMIENTO
1p,1272t,NO SE DETECTO INCUMPLIMIENTO
61p,1272t,NO SE DETECTO INCUMPLIMIENTO
1p,1274t,NO SE DETECTO INCUMPLIMIENTO
61p,1274t,NO SE DETECTO INCUMPLIMIENTO
146p,1274t,NO SE DETECTO INCUMPLIMIENTO
1p,1275t,NO SE DETECTO INCUMPLIMIENTO
61p,1275t,NO SE DETECTO INCUMPLIMIENTO
93p,1275t,NO SE DETECTO INCUMPLIMIENTO
1p,1336t,NO SE DETECTO INCUMPLIMIENTO
1p,827t,NO SE DETECTO INCUMPLIMIENTO
3p,827t,NO SE DETECTO INCUMPLIMIENTO
4p,827t,NO SE DETECTO INCUMPLIMIENTO
25p,827t,NO SE DETECTO INCUMPLIMIENTO
34p,827t,NO SE DETECTO INCUMPLIMIENTO
38p,827t,NO SE DETECTO INCUMPLIMIENTO
54p,827t,NO SE DETECTO INCUMPLIMIENTO
62p,827t,NO SE DETECTO INCUMPLIMIENTO
79p,827t,NO SE DETECTO INCUMPLIMIENTO
93p,827t,NO SE DETECTO INCUMPLIMIENTO
101p,827t,NO SE DETECTO INCUMPLIMIENTO
1p,1338t,NO SE DETECTO INCUMPLIMIENTO
1p,1540t,NO SE DETECTO INCUMPLIMIENTO
4p,1540t,NO SE DETECTO INCUMPLIMIENTO
104p,1540t,NO SE DETECTO INCUMPLIMIENTO
1p,1642t,NO SE DETECTO INCUMPLIMIENTO
61p,1642t,NO SE DETECTO INCUMPLIMIENTO
93p,1642t,NO SE DETECTO INCUMPLIMIENTO
104p,1642t,NO SE DETECTO INCUMPLIMIENTO
1p,1643t,NO SE DETECTO INCUMPLIMIENTO
54p,1643t,NO SE DETECTO INCUMPLIMIENTO
1p,1697t,NO SE DETECTO INCUMPLIMIENTO
60p,1697t,NO SE DETECTO INCUMPLIMIENTO
173p,1697t,NO SE DETECTO INCUMPLIMIENTO
1p,1700t,NO SE DETECTO INCUMPLIMIENTO
54p,1700t,NO SE DETECTO INCUMPLIMIENTO
1p,1785t,NO SE DETECTO INCUMPLIMIENTO
3p,1785t,NO SE DETECTO INCUMPLIMIENTO
54p,1785t,NO SE DETECTO INCUMPLIMIENTO
151p,1785t,NO SE DETECTO INCUMPLIMIENTO
1p,1790t,NO SE DETECTO INCUMPLIMIENTO
61p,1790t,NO SE DETECTO INCUMPLIMIENTO
1p,1791t,NO SE DETECTO INCUMPLIMIENTO
1p,1815t,Carece de toda informaci¾n comercial conforme a la norma
4p,1815t,Carece de toda informaci¾n comercial conforme a la norma
1p,1822t,NO SE DETECTO INCUMPLIMIENTO
61p,1822t,NO SE DETECTO INCUMPLIMIENTO
1p,1869t,NO SE DETECTO INCUMPLIMIENTO
3p,1869t,NO SE DETECTO INCUMPLIMIENTO
93p,1869t,NO SE DETECTO INCUMPLIMIENTO
105p,1869t,NO SE DETECTO INCUMPLIMIENTO
1p,1879t,NO SE DETECTO INCUMPLIMIENTO
54p,1879t,NO SE DETECTO INCUMPLIMIENTO
104p,1879t,NO SE DETECTO INCUMPLIMIENTO
1p,1896t,NO SE DETECTO INCUMPLIMIENTO
61p,1896t,NO SE DETECTO INCUMPLIMIENTO
93p,1896t,NO SE DETECTO INCUMPLIMIENTO
145p,1896t,NO SE DETECTO INCUMPLIMIENTO
1p,1897t,NO SE DETECTO INCUMPLIMIENTO
4p,1897t,NO SE DETECTO INCUMPLIMIENTO
93p,1897t,NO SE DETECTO INCUMPLIMIENTO
1p,1919t,NO SE DETECTO INCUMPLIMIENTO
3p,1919t,NO SE DETECTO INCUMPLIMIENTO
120p,1919t,NO SE DETECTO INCUMPLIMIENTO
151p,1919t,NO SE DETECTO INCUMPLIMIENTO
1p,1981t,NO SE DETECTO INCUMPLIMIENTO
54p,1981t,NO SE DETECTO INCUMPLIMIENTO
93p,1981t,NO SE DETECTO INCUMPLIMIENTO
1p,1767t,NO SE DETECTO INCUMPLIMIENTO
6p,1767t,NO SE DETECTO INCUMPLIMIENTO
25p,1767t,NO SE DETECTO INCUMPLIMIENTO
28p,1767t,NO SE DETECTO INCUMPLIMIENTO
34p,1767t,No acredita los requisitos de segurudad del producto de conformidad con lo dispuesto en la norma.
34p,1767t,NO SE DETECTO INCUMPLIMIENTO
