Id_Producto,Id_Tienda,INCUMPLIMIENTO
115p,137t,NO SE DETECTO INCUMPLIMIENTO
116p,137t,NO SE DETECTO INCUMPLIMIENTO
117p,137t,NO SE DETECTO INCUMPLIMIENTO
121p,137t,NO SE DETECTO INCUMPLIMIENTO
122p,137t,NO SE DETECTO INCUMPLIMIENTO
123p,137t,NO SE DETECTO INCUMPLIMIENTO
128p,137t,NO SE DETECTO INCUMPLIMIENTO
129p,137t,NO SE DETECTO INCUMPLIMIENTO
130p,137t,NO SE DETECTO INCUMPLIMIENTO
133p,137t,NO SE DETECTO INCUMPLIMIENTO
196p,137t,NO SE DETECTO INCUMPLIMIENTO
200p,137t,NO SE DETECTO INCUMPLIMIENTO
204p,137t,NO SE DETECTO INCUMPLIMIENTO
204p,137t,toma de muestras
216p,137t,NO SE DETECTO INCUMPLIMIENTO
222p,137t,NO SE DETECTO INCUMPLIMIENTO
235p,137t,NO SE DETECTO INCUMPLIMIENTO
241p,137t,NO SE DETECTO INCUMPLIMIENTO
241p,137t,CARECE DEL CERTIFICADO DE CONFORMIDAD CON LA NORMA
242p,137t,NO SE DETECTO INCUMPLIMIENTO
242p,137t,carece de certificado de cumplimiento de la norma
243p,137t,NO SE DETECTO INCUMPLIMIENTO
254p,137t,NO SE DETECTO INCUMPLIMIENTO
258p,137t,NO SE DETECTO INCUMPLIMIENTO
262p,137t,NO SE DETECTO INCUMPLIMIENTO
2p,844t,NO SE DETECTO INCUMPLIMIENTO
13p,844t,NO SE DETECTO INCUMPLIMIENTO
14p,844t,NO SE DETECTO INCUMPLIMIENTO
15p,844t,NO SE DETECTO INCUMPLIMIENTO
17p,844t,NO SE DETECTO INCUMPLIMIENTO
21p,844t,NO SE DETECTO INCUMPLIMIENTO
30p,844t,NO SE DETECTO INCUMPLIMIENTO
34p,844t,NO SE DETECTO INCUMPLIMIENTO
43p,844t,NO SE DETECTO INCUMPLIMIENTO
108p,844t,NO SE DETECTO INCUMPLIMIENTO
122p,844t,NO SE DETECTO INCUMPLIMIENTO
127p,844t,NO SE DETECTO INCUMPLIMIENTO
129p,844t,NO SE DETECTO INCUMPLIMIENTO
130p,844t,NO SE DETECTO INCUMPLIMIENTO
220p,844t,NO SE DETECTO INCUMPLIMIENTO
231p,844t,NO SE DETECTO INCUMPLIMIENTO
2p,845t,NO SE DETECTO INCUMPLIMIENTO
4p,845t,NO SE DETECTO INCUMPLIMIENTO
5p,845t,NO SE DETECTO INCUMPLIMIENTO
6p,845t,NO SE DETECTO INCUMPLIMIENTO
13p,845t,NO SE DETECTO INCUMPLIMIENTO
16p,845t,NO SE DETECTO INCUMPLIMIENTO
18p,845t,NO SE DETECTO INCUMPLIMIENTO
22p,845t,NO SE DETECTO INCUMPLIMIENTO
23p,845t,NO SE DETECTO INCUMPLIMIENTO
25p,845t,NO SE DETECTO INCUMPLIMIENTO
47p,845t,NO SE DETECTO INCUMPLIMIENTO
63p,845t,NO SE DETECTO INCUMPLIMIENTO
75p,845t,NO SE DETECTO INCUMPLIMIENTO
107p,845t,NO SE DETECTO INCUMPLIMIENTO
109p,845t,NO SE DETECTO INCUMPLIMIENTO
111p,845t,NO SE DETECTO INCUMPLIMIENTO
117p,845t,Carece de identificaci¢n del lote
123p,845t,NO SE DETECTO INCUMPLIMIENTO
129p,845t,NO SE DETECTO INCUMPLIMIENTO
130p,845t,NO SE DETECTO INCUMPLIMIENTO
131p,845t,NO SE DETECTO INCUMPLIMIENTO
148p,845t,Carece de la Lista de ingredientes ( salvo que se trate de un solo ingrediente )
148p,845t,NO SE DETECTO INCUMPLIMIENTO
234p,845t,NO SE DETECTO INCUMPLIMIENTO
254p,845t,NO SE DETECTO INCUMPLIMIENTO
2p,9197t,NO SE DETECTO INCUMPLIMIENTO
5p,9197t,NO SE DETECTO INCUMPLIMIENTO
7p,9197t,NO SE DETECTO INCUMPLIMIENTO
2p,9203t,NO SE DETECTO INCUMPLIMIENTO
2p,9237t,NO SE DETECTO INCUMPLIMIENTO
2p,9499t,NO SE DETECTO INCUMPLIMIENTO
2p,9529t,NO SE DETECTO INCUMPLIMIENTO
7p,9529t,NO SE DETECTO INCUMPLIMIENTO
2p,9646t,NO SE DETECTO INCUMPLIMIENTO
2p,9912t,NO SE DETECTO INCUMPLIMIENTO
5p,9912t,NO SE DETECTO INCUMPLIMIENTO
24p,9912t,NO SE DETECTO INCUMPLIMIENTO
31p,9912t,NO SE DETECTO INCUMPLIMIENTO
2p,9914t,NO SE DETECTO INCUMPLIMIENTO
17p,9914t,NO SE DETECTO INCUMPLIMIENTO
24p,9914t,NO SE DETECTO INCUMPLIMIENTO
31p,9914t,NO SE DETECTO INCUMPLIMIENTO
2p,9915t,NO SE DETECTO INCUMPLIMIENTO
6p,9915t,NO SE DETECTO INCUMPLIMIENTO
17p,9915t,NO SE DETECTO INCUMPLIMIENTO
24p,9915t,NO SE DETECTO INCUMPLIMIENTO
31p,9915t,NO SE DETECTO INCUMPLIMIENTO
172p,9915t,NO SE DETECTO INCUMPLIMIENTO
2p,9917t,NO SE DETECTO INCUMPLIMIENTO
24p,9917t,NO SE DETECTO INCUMPLIMIENTO
31p,9917t,NO SE DETECTO INCUMPLIMIENTO
55p,9917t,NO SE DETECTO INCUMPLIMIENTO
272p,9917t,NO SE DETECTO INCUMPLIMIENTO
2p,9963t,NO SE DETECTO INCUMPLIMIENTO
6p,9963t,NO SE DETECTO INCUMPLIMIENTO
17p,9963t,NO SE DETECTO INCUMPLIMIENTO
23p,9963t,NO SE DETECTO INCUMPLIMIENTO
24p,9963t,NO SE DETECTO INCUMPLIMIENTO
108p,9963t,NO SE DETECTO INCUMPLIMIENTO
112p,9963t,NO SE DETECTO INCUMPLIMIENTO
2p,9979t,NO SE DETECTO INCUMPLIMIENTO
5p,9979t,NO SE DETECTO INCUMPLIMIENTO
7p,9979t,NO SE DETECTO INCUMPLIMIENTO
9p,9979t,NO SE DETECTO INCUMPLIMIENTO
24p,9979t,NO SE DETECTO INCUMPLIMIENTO
55p,9979t,NO SE DETECTO INCUMPLIMIENTO
108p,9979t,NO SE DETECTO INCUMPLIMIENTO
112p,9979t,NO SE DETECTO INCUMPLIMIENTO
2p,9982t,NO SE DETECTO INCUMPLIMIENTO
5p,9982t,NO SE DETECTO INCUMPLIMIENTO
17p,9982t,NO SE DETECTO INCUMPLIMIENTO
24p,9982t,NO SE DETECTO INCUMPLIMIENTO
31p,9982t,NO SE DETECTO INCUMPLIMIENTO
108p,9982t,NO SE DETECTO INCUMPLIMIENTO
112p,9982t,NO SE DETECTO INCUMPLIMIENTO
2p,10000t,NO SE DETECTO INCUMPLIMIENTO
6p,10000t,NO SE DETECTO INCUMPLIMIENTO
17p,10000t,NO SE DETECTO INCUMPLIMIENTO
24p,10000t,NO SE DETECTO INCUMPLIMIENTO
31p,10000t,NO SE DETECTO INCUMPLIMIENTO
172p,10000t,NO SE DETECTO INCUMPLIMIENTO
2p,10005t,NO SE DETECTO INCUMPLIMIENTO
5p,10005t,NO SE DETECTO INCUMPLIMIENTO
6p,10005t,NO SE DETECTO INCUMPLIMIENTO
17p,10005t,NO SE DETECTO INCUMPLIMIENTO
24p,10005t,NO SE DETECTO INCUMPLIMIENTO
31p,10005t,NO SE DETECTO INCUMPLIMIENTO
2p,10006t,NO SE DETECTO INCUMPLIMIENTO
5p,10006t,NO SE DETECTO INCUMPLIMIENTO
24p,10006t,NO SE DETECTO INCUMPLIMIENTO
31p,10006t,NO SE DETECTO INCUMPLIMIENTO
46p,10006t,NO SE DETECTO INCUMPLIMIENTO
2p,10018t,NO SE DETECTO INCUMPLIMIENTO
17p,10018t,NO SE DETECTO INCUMPLIMIENTO
24p,10018t,NO SE DETECTO INCUMPLIMIENTO
2p,10020t,NO SE DETECTO INCUMPLIMIENTO
7p,10020t,NO SE DETECTO INCUMPLIMIENTO
24p,10020t,NO SE DETECTO INCUMPLIMIENTO
157p,10020t,NO SE DETECTO INCUMPLIMIENTO
2p,10021t,NO SE DETECTO INCUMPLIMIENTO
17p,10021t,NO SE DETECTO INCUMPLIMIENTO
24p,10021t,NO SE DETECTO INCUMPLIMIENTO
31p,10021t,NO SE DETECTO INCUMPLIMIENTO
158p,10021t,NO SE DETECTO INCUMPLIMIENTO
186p,10021t,NO SE DETECTO INCUMPLIMIENTO
277p,10021t,NO SE DETECTO INCUMPLIMIENTO
316p,10021t,NO SE DETECTO INCUMPLIMIENTO
2p,10022t,NO SE DETECTO INCUMPLIMIENTO
17p,10022t,NO SE DETECTO INCUMPLIMIENTO
24p,10022t,NO SE DETECTO INCUMPLIMIENTO
2p,10024t,NO SE DETECTO INCUMPLIMIENTO
7p,10024t,NO SE DETECTO INCUMPLIMIENTO
24p,10024t,NO SE DETECTO INCUMPLIMIENTO
157p,10024t,NO SE DETECTO INCUMPLIMIENTO
2p,10025t,NO SE DETECTO INCUMPLIMIENTO
5p,10025t,NO SE DETECTO INCUMPLIMIENTO
24p,10025t,NO SE DETECTO INCUMPLIMIENTO
2p,10094t,NO SE DETECTO INCUMPLIMIENTO
24p,10094t,NO SE DETECTO INCUMPLIMIENTO
47p,10094t,NO SE DETECTO INCUMPLIMIENTO
55p,10094t,NO SE DETECTO INCUMPLIMIENTO
2p,10095t,NO SE DETECTO INCUMPLIMIENTO
5p,10095t,NO SE DETECTO INCUMPLIMIENTO
17p,10095t,NO SE DETECTO INCUMPLIMIENTO
24p,10095t,NO SE DETECTO INCUMPLIMIENTO
2p,10098t,NO SE DETECTO INCUMPLIMIENTO
5p,10098t,NO SE DETECTO INCUMPLIMIENTO
6p,10098t,NO SE DETECTO INCUMPLIMIENTO
17p,10098t,NO SE DETECTO INCUMPLIMIENTO
24p,10098t,NO SE DETECTO INCUMPLIMIENTO
31p,10098t,NO SE DETECTO INCUMPLIMIENTO
172p,10098t,NO SE DETECTO INCUMPLIMIENTO
2p,10109t,NO SE DETECTO INCUMPLIMIENTO
112p,10109t,NO SE DETECTO INCUMPLIMIENTO
295p,10109t,NO SE DETECTO INCUMPLIMIENTO
2p,10114t,NO SE DETECTO INCUMPLIMIENTO
5p,10114t,NO SE DETECTO INCUMPLIMIENTO
24p,10114t,NO SE DETECTO INCUMPLIMIENTO
31p,10114t,NO SE DETECTO INCUMPLIMIENTO
2p,10115t,NO SE DETECTO INCUMPLIMIENTO
17p,10115t,NO SE DETECTO INCUMPLIMIENTO
24p,10115t,NO SE DETECTO INCUMPLIMIENTO
31p,10115t,NO SE DETECTO INCUMPLIMIENTO
272p,10115t,NO SE DETECTO INCUMPLIMIENTO
2p,10129t,NO SE DETECTO INCUMPLIMIENTO
6p,10129t,NO SE DETECTO INCUMPLIMIENTO
17p,10129t,NO SE DETECTO INCUMPLIMIENTO
2p,10137t,NO SE DETECTO INCUMPLIMIENTO
5p,10137t,NO SE DETECTO INCUMPLIMIENTO
17p,10137t,NO SE DETECTO INCUMPLIMIENTO
24p,10137t,NO SE DETECTO INCUMPLIMIENTO
31p,10137t,NO SE DETECTO INCUMPLIMIENTO
225p,10137t,NO SE DETECTO INCUMPLIMIENTO
295p,10137t,NO SE DETECTO INCUMPLIMIENTO
2p,10153t,NO SE DETECTO INCUMPLIMIENTO
5p,10153t,NO SE DETECTO INCUMPLIMIENTO
17p,10153t,NO SE DETECTO INCUMPLIMIENTO
24p,10153t,NO SE DETECTO INCUMPLIMIENTO
2p,10156t,NO SE DETECTO INCUMPLIMIENTO
5p,10156t,NO SE DETECTO INCUMPLIMIENTO
17p,10156t,NO SE DETECTO INCUMPLIMIENTO
24p,10156t,NO SE DETECTO INCUMPLIMIENTO
31p,10156t,NO SE DETECTO INCUMPLIMIENTO
322p,10156t,NO SE DETECTO INCUMPLIMIENTO
2p,10158t,NO SE DETECTO INCUMPLIMIENTO
7p,10158t,NO SE DETECTO INCUMPLIMIENTO
17p,10158t,NO SE DETECTO INCUMPLIMIENTO
24p,10158t,NO SE DETECTO INCUMPLIMIENTO
172p,10158t,NO SE DETECTO INCUMPLIMIENTO
2p,10160t,NO SE DETECTO INCUMPLIMIENTO
5p,10160t,NO SE DETECTO INCUMPLIMIENTO
17p,10160t,NO SE DETECTO INCUMPLIMIENTO
24p,10160t,NO SE DETECTO INCUMPLIMIENTO
31p,10160t,NO SE DETECTO INCUMPLIMIENTO
47p,10160t,NO SE DETECTO INCUMPLIMIENTO
2p,10183t,NO SE DETECTO INCUMPLIMIENTO
5p,10183t,NO SE DETECTO INCUMPLIMIENTO
6p,10183t,NO SE DETECTO INCUMPLIMIENTO
17p,10183t,NO SE DETECTO INCUMPLIMIENTO
24p,10183t,NO SE DETECTO INCUMPLIMIENTO
47p,10183t,NO SE DETECTO INCUMPLIMIENTO
55p,10183t,NO SE DETECTO INCUMPLIMIENTO
154p,10183t,NO SE DETECTO INCUMPLIMIENTO
2p,10187t,NO SE DETECTO INCUMPLIMIENTO
5p,10187t,NO SE DETECTO INCUMPLIMIENTO
6p,10187t,NO SE DETECTO INCUMPLIMIENTO
17p,10187t,NO SE DETECTO INCUMPLIMIENTO
24p,10187t,NO SE DETECTO INCUMPLIMIENTO
31p,10187t,NO SE DETECTO INCUMPLIMIENTO
55p,10187t,NO SE DETECTO INCUMPLIMIENTO
2p,10188t,NO SE DETECTO INCUMPLIMIENTO
5p,10188t,NO SE DETECTO INCUMPLIMIENTO
24p,10188t,NO SE DETECTO INCUMPLIMIENTO
2p,10200t,NO SE DETECTO INCUMPLIMIENTO
17p,10200t,NO SE DETECTO INCUMPLIMIENTO
24p,10200t,NO SE DETECTO INCUMPLIMIENTO
225p,10200t,NO SE DETECTO INCUMPLIMIENTO
2p,10222t,NO SE DETECTO INCUMPLIMIENTO
6p,10222t,NO SE DETECTO INCUMPLIMIENTO
2p,10223t,NO SE DETECTO INCUMPLIMIENTO
6p,10223t,NO SE DETECTO INCUMPLIMIENTO
2p,10224t,NO SE DETECTO INCUMPLIMIENTO
6p,10224t,NO SE DETECTO INCUMPLIMIENTO
2p,10225t,NO SE DETECTO INCUMPLIMIENTO
6p,10225t,NO SE DETECTO INCUMPLIMIENTO
2p,10227t,NO SE DETECTO INCUMPLIMIENTO
24p,10227t,NO SE DETECTO INCUMPLIMIENTO
2p,10231t,NO SE DETECTO INCUMPLIMIENTO
6p,10231t,NO SE DETECTO INCUMPLIMIENTO
46p,10231t,NO SE DETECTO INCUMPLIMIENTO
2p,10236t,NO SE DETECTO INCUMPLIMIENTO
2p,10238t,NO SE DETECTO INCUMPLIMIENTO
6p,10238t,NO SE DETECTO INCUMPLIMIENTO
2p,10257t,NO SE DETECTO INCUMPLIMIENTO
2p,10300t,NO SE DETECTO INCUMPLIMIENTO
2p,10308t,NO SE DETECTO INCUMPLIMIENTO
6p,10308t,NO SE DETECTO INCUMPLIMIENTO
2p,10312t,NO SE DETECTO INCUMPLIMIENTO
6p,10312t,NO SE DETECTO INCUMPLIMIENTO
2p,10326t,NO SE DETECTO INCUMPLIMIENTO
6p,10326t,NO SE DETECTO INCUMPLIMIENTO
2p,10327t,NO SE DETECTO INCUMPLIMIENTO
6p,10327t,NO SE DETECTO INCUMPLIMIENTO
2p,10344t,NO SE DETECTO INCUMPLIMIENTO
5p,10344t,NO SE DETECTO INCUMPLIMIENTO
6p,10344t,NO SE DETECTO INCUMPLIMIENTO
8p,10344t,NO SE DETECTO INCUMPLIMIENTO
46p,10344t,NO SE DETECTO INCUMPLIMIENTO
2p,10345t,NO SE DETECTO INCUMPLIMIENTO
5p,10345t,NO SE DETECTO INCUMPLIMIENTO
6p,10345t,NO SE DETECTO INCUMPLIMIENTO
17p,10345t,NO SE DETECTO INCUMPLIMIENTO
2p,10376t,NO SE DETECTO INCUMPLIMIENTO
6p,10376t,NO SE DETECTO INCUMPLIMIENTO
2p,10377t,NO SE DETECTO INCUMPLIMIENTO
6p,10377t,NO SE DETECTO INCUMPLIMIENTO
2p,10413t,NO SE DETECTO INCUMPLIMIENTO
2p,10418t,NO SE DETECTO INCUMPLIMIENTO
2p,10382t,NO SE DETECTO INCUMPLIMIENTO
18p,10382t,NO SE DETECTO INCUMPLIMIENTO
2p,10594t,Carece de  informacion comercial en idioma español
2p,10595t,NO SE DETECTO INCUMPLIMIENTO
5p,10595t,NO SE DETECTO INCUMPLIMIENTO
31p,10595t,NO SE DETECTO INCUMPLIMIENTO
2p,10656t,NO SE DETECTO INCUMPLIMIENTO
5p,10656t,NO SE DETECTO INCUMPLIMIENTO
2p,10662t,NO SE DETECTO INCUMPLIMIENTO
5p,10662t,NO SE DETECTO INCUMPLIMIENTO
17p,10662t,NO SE DETECTO INCUMPLIMIENTO
2p,10663t,NO SE DETECTO INCUMPLIMIENTO
46p,10663t,NO SE DETECTO INCUMPLIMIENTO
295p,10663t,NO SE DETECTO INCUMPLIMIENTO
2p,10665t,NO SE DETECTO INCUMPLIMIENTO
46p,10665t,NO SE DETECTO INCUMPLIMIENTO
2p,10666t,NO SE DETECTO INCUMPLIMIENTO
7p,10666t,NO SE DETECTO INCUMPLIMIENTO
2p,10667t,NO SE DETECTO INCUMPLIMIENTO
17p,10667t,NO SE DETECTO INCUMPLIMIENTO
2p,10669t,NO SE DETECTO INCUMPLIMIENTO
46p,10669t,NO SE DETECTO INCUMPLIMIENTO
2p,10749t,NO SE DETECTO INCUMPLIMIENTO
6p,10749t,NO SE DETECTO INCUMPLIMIENTO
3p,6t,NO SE DETECTO INCUMPLIMIENTO
3p,67t,NO SE DETECTO INCUMPLIMIENTO
3p,147t,NO SE DETECTO INCUMPLIMIENTO
3p,154t,NO SE DETECTO INCUMPLIMIENTO
3p,155t,NO SE DETECTO INCUMPLIMIENTO
3p,281t,NO SE DETECTO INCUMPLIMIENTO
3p,282t,NO SE DETECTO INCUMPLIMIENTO
3p,282t,Carece de Garantia
3p,283t,NO SE DETECTO INCUMPLIMIENTO
3p,333t,NO SE DETECTO INCUMPLIMIENTO
3p,334t,NO SE DETECTO INCUMPLIMIENTO
3p,335t,NO SE DETECTO INCUMPLIMIENTO
3p,336t,NO SE DETECTO INCUMPLIMIENTO
3p,337t,NO SE DETECTO INCUMPLIMIENTO
3p,338t,NO SE DETECTO INCUMPLIMIENTO
3p,342t,NO SE DETECTO INCUMPLIMIENTO
3p,383t,NO SE DETECTO INCUMPLIMIENTO
3p,384t,NO SE DETECTO INCUMPLIMIENTO
3p,430t,NO SE DETECTO INCUMPLIMIENTO
3p,431t,NO SE DETECTO INCUMPLIMIENTO
3p,432t,NO SE DETECTO INCUMPLIMIENTO
3p,435t,NO SE DETECTO INCUMPLIMIENTO
3p,550t,NO SE DETECTO INCUMPLIMIENTO
3p,552t,NO SE DETECTO INCUMPLIMIENTO
3p,554t,NO SE DETECTO INCUMPLIMIENTO
3p,583t,NO SE DETECTO INCUMPLIMIENTO
3p,607t,NO SE DETECTO INCUMPLIMIENTO
3p,614t,NO SE DETECTO INCUMPLIMIENTO
3p,621t,NO SE DETECTO INCUMPLIMIENTO
3p,622t,NO SE DETECTO INCUMPLIMIENTO
3p,627t,NO SE DETECTO INCUMPLIMIENTO
3p,628t,NO SE DETECTO INCUMPLIMIENTO
3p,630t,NO SE DETECTO INCUMPLIMIENTO
3p,631t,NO SE DETECTO INCUMPLIMIENTO
3p,632t,NO SE DETECTO INCUMPLIMIENTO
3p,642t,NO SE DETECTO INCUMPLIMIENTO
3p,643t,NO SE DETECTO INCUMPLIMIENTO
3p,606t,NO SE DETECTO INCUMPLIMIENTO
4p,606t,NO SE DETECTO INCUMPLIMIENTO
3p,653t,NO SE DETECTO INCUMPLIMIENTO
3p,808t,NO SE DETECTO INCUMPLIMIENTO
3p,809t,NO SE DETECTO INCUMPLIMIENTO
3p,810t,NO SE DETECTO INCUMPLIMIENTO
3p,825t,NO SE DETECTO INCUMPLIMIENTO
3p,837t,NO SE DETECTO INCUMPLIMIENTO
3p,862t,NO SE DETECTO INCUMPLIMIENTO
3p,866t,NO SE DETECTO INCUMPLIMIENTO
3p,871t,NO SE DETECTO INCUMPLIMIENTO
3p,874t,NO SE DETECTO INCUMPLIMIENTO
3p,879t,NO SE DETECTO INCUMPLIMIENTO
3p,879t,Carece  de toda Informacion Comercial Conforme  a la Norma NOM-020-SCFI-1997
3p,885t,NO SE DETECTO INCUMPLIMIENTO
3p,889t,NO SE DETECTO INCUMPLIMIENTO
3p,892t,NO SE DETECTO INCUMPLIMIENTO
3p,893t,NO SE DETECTO INCUMPLIMIENTO
3p,895t,NO SE DETECTO INCUMPLIMIENTO
3p,903t,NO SE DETECTO INCUMPLIMIENTO
3p,957t,NO SE DETECTO INCUMPLIMIENTO
3p,958t,NO SE DETECTO INCUMPLIMIENTO
3p,961t,NO SE DETECTO INCUMPLIMIENTO
3p,964t,NO SE DETECTO INCUMPLIMIENTO
3p,965t,NO SE DETECTO INCUMPLIMIENTO
3p,970t,NO SE DETECTO INCUMPLIMIENTO
3p,972t,NO SE DETECTO INCUMPLIMIENTO
3p,973t,NO SE DETECTO INCUMPLIMIENTO
3p,976t,NO SE DETECTO INCUMPLIMIENTO
3p,986t,NO SE DETECTO INCUMPLIMIENTO
3p,1037t,NO SE DETECTO INCUMPLIMIENTO
3p,1040t,NO SE DETECTO INCUMPLIMIENTO
3p,1041t,NO SE DETECTO INCUMPLIMIENTO
4p,1041t,NO SE DETECTO INCUMPLIMIENTO
54p,1041t,NO SE DETECTO INCUMPLIMIENTO
255p,1041t,NO SE DETECTO INCUMPLIMIENTO
3p,1047t,NO SE DETECTO INCUMPLIMIENTO
3p,1048t,NO SE DETECTO INCUMPLIMIENTO
3p,1057t,NO SE DETECTO INCUMPLIMIENTO
54p,1057t,NO SE DETECTO INCUMPLIMIENTO
61p,1057t,NO SE DETECTO INCUMPLIMIENTO
3p,1031t,NO SE DETECTO INCUMPLIMIENTO
54p,1031t,NO SE DETECTO INCUMPLIMIENTO
3p,1062t,Carece de la declaracion de composicion   del producto
3p,1069t,NO SE DETECTO INCUMPLIMIENTO
3p,1076t,NO SE DETECTO INCUMPLIMIENTO
3p,1077t,NO SE DETECTO INCUMPLIMIENTO
3p,1086t,NO SE DETECTO INCUMPLIMIENTO
3p,1088t,NO SE DETECTO INCUMPLIMIENTO
153p,1088t,NO SE DETECTO INCUMPLIMIENTO
3p,1089t,NO SE DETECTO INCUMPLIMIENTO
3p,1090t,NO SE DETECTO INCUMPLIMIENTO
3p,1091t,NO SE DETECTO INCUMPLIMIENTO
3p,1094t,NO SE DETECTO INCUMPLIMIENTO
4p,1094t,NO SE DETECTO INCUMPLIMIENTO
3p,980t,Carece de nombre o denominacion o razon social del fabricante y/o importador
63p,980t,NO SE DETECTO INCUMPLIMIENTO
67p,980t,NO SE DETECTO INCUMPLIMIENTO
145p,980t,NO SE DETECTO INCUMPLIMIENTO
3p,1125t,NO SE DETECTO INCUMPLIMIENTO
3p,1135t,NO SE DETECTO INCUMPLIMIENTO
3p,1138t,NO SE DETECTO INCUMPLIMIENTO
3p,1154t,NO SE DETECTO INCUMPLIMIENTO
3p,1164t,NO SE DETECTO INCUMPLIMIENTO
3p,1219t,NO SE DETECTO INCUMPLIMIENTO
3p,1228t,NO SE DETECTO INCUMPLIMIENTO
3p,1264t,NO SE DETECTO INCUMPLIMIENTO
54p,1264t,NO SE DETECTO INCUMPLIMIENTO
61p,1264t,NO SE DETECTO INCUMPLIMIENTO
62p,1264t,NO SE DETECTO INCUMPLIMIENTO
3p,1270t,NO SE DETECTO INCUMPLIMIENTO
3p,1281t,NO SE DETECTO INCUMPLIMIENTO
3p,1282t,NO SE DETECTO INCUMPLIMIENTO
3p,1329t,NO SE DETECTO INCUMPLIMIENTO
3p,1335t,NO SE DETECTO INCUMPLIMIENTO
3p,1339t,NO SE DETECTO INCUMPLIMIENTO
3p,1340t,NO SE DETECTO INCUMPLIMIENTO
3p,1341t,NO SE DETECTO INCUMPLIMIENTO
3p,1753t,NO SE DETECTO INCUMPLIMIENTO
3p,1754t,NO SE DETECTO INCUMPLIMIENTO
3p,1755t,NO SE DETECTO INCUMPLIMIENTO
33p,1755t,NO SE DETECTO INCUMPLIMIENTO
3p,1757t,NO SE DETECTO INCUMPLIMIENTO
54p,1757t,NO SE DETECTO INCUMPLIMIENTO
61p,1757t,NO SE DETECTO INCUMPLIMIENTO
146p,1757t,NO SE DETECTO INCUMPLIMIENTO
3p,1779t,NO SE DETECTO INCUMPLIMIENTO
33p,1779t,NO SE DETECTO INCUMPLIMIENTO
3p,1780t,NO SE DETECTO INCUMPLIMIENTO
3p,1781t,NO SE DETECTO INCUMPLIMIENTO
3p,1782t,NO SE DETECTO INCUMPLIMIENTO
3p,1812t,NO SE DETECTO INCUMPLIMIENTO
54p,1812t,NO SE DETECTO INCUMPLIMIENTO
93p,1812t,NO SE DETECTO INCUMPLIMIENTO
105p,1812t,NO SE DETECTO INCUMPLIMIENTO
3p,1813t,NO SE DETECTO INCUMPLIMIENTO
3p,1814t,NO SE DETECTO INCUMPLIMIENTO
3p,1816t,NO SE DETECTO INCUMPLIMIENTO
3p,1817t,NO SE DETECTO INCUMPLIMIENTO
3p,1818t,NO SE DETECTO INCUMPLIMIENTO
3p,1819t,NO SE DETECTO INCUMPLIMIENTO
169p,1819t,NO SE DETECTO INCUMPLIMIENTO
3p,1833t,NO SE DETECTO INCUMPLIMIENTO
3p,1854t,NO SE DETECTO INCUMPLIMIENTO
3p,1855t,NO SE DETECTO INCUMPLIMIENTO
3p,1856t,NO SE DETECTO INCUMPLIMIENTO
3p,1858t,NO SE DETECTO INCUMPLIMIENTO
54p,1858t,NO SE DETECTO INCUMPLIMIENTO
93p,1858t,NO SE DETECTO INCUMPLIMIENTO
105p,1858t,NO SE DETECTO INCUMPLIMIENTO
178p,1858t,NO SE DETECTO INCUMPLIMIENTO
3p,1862t,NO SE DETECTO INCUMPLIMIENTO
3p,1864t,NO SE DETECTO INCUMPLIMIENTO
105p,1864t,NO SE DETECTO INCUMPLIMIENTO
3p,1872t,NO SE DETECTO INCUMPLIMIENTO
3p,1876t,NO SE DETECTO INCUMPLIMIENTO
3p,1901t,NO SE DETECTO INCUMPLIMIENTO
3p,1902t,NO SE DETECTO INCUMPLIMIENTO
33p,1902t,NO SE DETECTO INCUMPLIMIENTO
105p,1902t,NO SE DETECTO INCUMPLIMIENTO
3p,1903t,NO SE DETECTO INCUMPLIMIENTO
33p,1903t,NO SE DETECTO INCUMPLIMIENTO
3p,1904t,NO SE DETECTO INCUMPLIMIENTO
3p,1906t,NO SE DETECTO INCUMPLIMIENTO
3p,1907t,NO SE DETECTO INCUMPLIMIENTO
3p,1908t,NO SE DETECTO INCUMPLIMIENTO
3p,1909t,NO SE DETECTO INCUMPLIMIENTO
3p,1910t,NO SE DETECTO INCUMPLIMIENTO
54p,1910t,NO SE DETECTO INCUMPLIMIENTO
104p,1910t,NO SE DETECTO INCUMPLIMIENTO
3p,1066t,NO SE DETECTO INCUMPLIMIENTO
4p,1066t,NO SE DETECTO INCUMPLIMIENTO
25p,1066t,NO SE DETECTO INCUMPLIMIENTO
54p,1066t,NO SE DETECTO INCUMPLIMIENTO
56p,1066t,NO SE DETECTO INCUMPLIMIENTO
61p,1066t,NO SE DETECTO INCUMPLIMIENTO
67p,1066t,NO SE DETECTO INCUMPLIMIENTO
72p,1066t,NO SE DETECTO INCUMPLIMIENTO
85p,1066t,NO SE DETECTO INCUMPLIMIENTO
101p,1066t,NO SE DETECTO INCUMPLIMIENTO
105p,1066t,NO SE DETECTO INCUMPLIMIENTO
121p,1066t,NO SE DETECTO INCUMPLIMIENTO
151p,1066t,NO SE DETECTO INCUMPLIMIENTO
178p,1066t,NO SE DETECTO INCUMPLIMIENTO
3p,1672t,NO SE DETECTO INCUMPLIMIENTO
93p,1672t,NO SE DETECTO INCUMPLIMIENTO
